GuestID,FirstName,LastName,Gender,AgeBand,HomeCity,Country,PostcodeArea,Email,LoyaltyTier,MemberSince,MarketingConsent
GST00001,Callum,Williams,M,25-34,Glasgow,United Kingdom,G,callum.williams670@proton.me,Non-member,,Yes
GST00002,Jessica,Stewart,F,25-34,Leicester,United Kingdom,LE,jessica.stewart281@gmail.com,Bronze,2018-10-26,Yes
GST00003,William,Singh,M,25-34,Newcastle,United Kingdom,NE,william.singh732@gmail.com,Gold,2023-09-11,Yes
GST00004,Sophie,Wright,F,18-24,Dublin,Ireland,,sophie.wright909@proton.me,Gold,2020-09-15,No
GST00005,Yusuf,Green,M,55-64,Edinburgh,United Kingdom,EH,yusuf.green288@outlook.com,Bronze,2020-11-17,Yes
GST00006,Ava,Singh,F,55-64,Manchester,United Kingdom,M,ava.singh127@gmail.com,Bronze,2020-12-16,Yes
GST00007,Henry,Clarke,M,55-64,Cardiff,United Kingdom,CF,henry.clarke924@gmail.com,Non-member,,Yes
GST00008,Chloe,Johnson,F,25-34,Amsterdam,Netherlands,,chloe.johnson207@proton.me,Bronze,2026-02-23,Yes
GST00009,Nadia,Baker,F,25-34,Bristol,United Kingdom,BS,nadia.baker424@gmail.com,Silver,2020-07-20,Yes
GST00010,Meera,Shah,F,25-34,Toronto,Canada,,meera.shah608@hotmail.com,Silver,2025-10-16,Yes
GST00011,Sophie,Baker,F,35-44,Amsterdam,Netherlands,,sophie.baker189@icloud.com,Silver,2026-04-20,No
GST00012,Jacob,Turner,M,55-64,Paris,France,,jacob.turner577@icloud.com,Silver,2023-02-22,No
GST00013,Henry,Mitchell,M,18-24,Manchester,United Kingdom,M,henry.mitchell666@icloud.com,Silver,2021-01-29,Yes
GST00014,Henry,Mitchell,M,25-34,Manchester,United Kingdom,M,henry.mitchell715@icloud.com,Non-member,,Yes
GST00015,Mohammed,Green,M,55-64,London,United Kingdom,SE,mohammed.green835@outlook.com,Silver,2023-01-11,Yes
GST00016,Fatima,Morris,F,25-34,London,United Kingdom,SE,fatima.morris22@icloud.com,Gold,2024-05-14,Yes
GST00017,James,Baker,M,25-34,Sydney,Australia,,james.baker840@hotmail.com,Bronze,2019-01-19,No
GST00018,Fatima,Taylor,F,65+,Mumbai,India,,fatima.taylor966@yahoo.co.uk,Gold,2026-07-20,Yes
GST00019,Oliver,Gupta,M,18-24,Newcastle,United Kingdom,NE,oliver.gupta435@icloud.com,Silver,2022-02-27,Yes
GST00020,Hannah,Jones,F,35-44,Manchester,United Kingdom,M,hannah.jones977@yahoo.co.uk,Silver,2019-11-03,Yes
GST00021,Rebecca,Wilson,F,45-54,Leicester,United Kingdom,LE,rebecca.wilson464@yahoo.co.uk,Bronze,2026-04-02,No
GST00022,Bethany,Wright,F,45-54,Madrid,Spain,,bethany.wright883@hotmail.com,Silver,2020-04-17,Yes
GST00023,Jacob,Wilson,M,25-34,Liverpool,United Kingdom,L,jacob.wilson452@proton.me,Bronze,2021-05-10,No
GST00024,Yusuf,Collins,M,65+,Glasgow,United Kingdom,G,yusuf.collins663@icloud.com,Gold,2024-04-24,Yes
GST00025,Noah,Mehta,M,35-44,Nottingham,United Kingdom,NG,noah.mehta23@yahoo.co.uk,Bronze,2026-03-09,No
GST00026,Henry,Ali,M,35-44,Bristol,United Kingdom,BS,henry.ali184@proton.me,Gold,2022-09-16,No
GST00027,Jacob,Walker,M,25-34,Reading,United Kingdom,RG,jacob.walker891@proton.me,Bronze,2018-08-02,No
GST00028,Yusuf,Cooper,M,45-54,Leeds,United Kingdom,LS,yusuf.cooper588@yahoo.co.uk,Bronze,2024-05-04,Yes
GST00029,Charlotte,White,F,18-24,Reading,United Kingdom,RG,charlotte.white887@yahoo.co.uk,Silver,2022-01-15,Yes
GST00030,Samuel,Walker,M,35-44,Newcastle,United Kingdom,NE,samuel.walker963@hotmail.com,Silver,2018-09-19,Yes
GST00031,Sara,Williams,F,45-54,Leicester,United Kingdom,LE,sara.williams82@hotmail.com,Non-member,,Yes
GST00032,Hannah,Jackson,F,18-24,Madrid,Spain,,hannah.jackson556@icloud.com,Non-member,,No
GST00033,Matthew,Hall,M,45-54,Edinburgh,United Kingdom,EH,matthew.hall509@yahoo.co.uk,Non-member,,Yes
GST00034,Leo,Jackson,M,45-54,Sheffield,United Kingdom,S,leo.jackson605@icloud.com,Silver,2019-02-09,Yes
GST00035,Adam,Murray,M,35-44,Sheffield,United Kingdom,S,adam.murray346@proton.me,Gold,2023-11-28,Yes
GST00036,Bethany,Collins,F,35-44,Reading,United Kingdom,RG,bethany.collins932@hotmail.com,Non-member,,No
GST00037,Lily,Gupta,F,25-34,Oxford,United Kingdom,OX,lily.gupta589@gmail.com,Silver,2018-05-17,Yes
GST00038,Evie,Smith,F,18-24,Edinburgh,United Kingdom,EH,evie.smith677@gmail.com,Non-member,,Yes
GST00039,Arjun,Phillips,M,45-54,Toronto,Canada,,arjun.phillips637@gmail.com,Bronze,2021-02-20,Yes
GST00040,Luke,Ali,M,25-34,Nottingham,United Kingdom,NG,luke.ali12@yahoo.co.uk,Bronze,2024-02-16,Yes
GST00041,Meera,Robinson,F,55-64,Bristol,United Kingdom,BS,meera.robinson290@gmail.com,Silver,2023-02-12,Yes
GST00042,Mia,Hussain,F,45-54,Oxford,United Kingdom,OX,mia.hussain354@yahoo.co.uk,Bronze,2018-07-19,Yes
GST00043,Jacob,White,M,25-34,Leicester,United Kingdom,LE,jacob.white593@hotmail.com,Silver,2022-02-16,Yes
GST00044,Aisha,Edwards,F,35-44,Manchester,United Kingdom,M,aisha.edwards979@outlook.com,Silver,2025-04-13,Yes
GST00045,Chloe,Hussain,F,25-34,London,United Kingdom,SE,chloe.hussain117@outlook.com,Gold,2018-07-24,No
GST00046,Sophie,Singh,F,35-44,Nottingham,United Kingdom,NG,sophie.singh137@yahoo.co.uk,Non-member,,Yes
GST00047,Benjamin,Thompson,M,65+,Madrid,Spain,,benjamin.thompson322@icloud.com,Silver,2021-05-16,No
GST00048,Fatima,Parker,F,25-34,London,United Kingdom,SE,fatima.parker22@icloud.com,Non-member,,No
GST00049,Charlie,Turner,M,25-34,Nottingham,United Kingdom,NG,charlie.turner942@icloud.com,Bronze,2022-02-01,Yes
GST00050,Charlie,Wright,M,35-44,London,United Kingdom,SE,charlie.wright610@yahoo.co.uk,Silver,2022-03-26,Yes
GST00051,Fatima,Wilson,F,35-44,Birmingham,United Kingdom,B,fatima.wilson523@hotmail.com,Gold,2025-06-11,Yes
