ExternalBookingID,BookingSource,CreatedDate,ArrivalDate,DepartureDate,GuestName,GuestEmail,HotelCity,RoomCategory,Status,BookingAmountGBP,GuestCountry
OTA-84976211,Booking.com,2026-06-21,2026-07-19,2026-07-23,Luke Hall,lukehall42@yahoo.co.uk,Manchester,Standard Double,Cancelled,115.62,Germany
OTA-50133503,Expedia,2026-03-11,2026-05-01,2026-05-06,Sophie Wood,sophiewood72@gmail.com,London,Superior King,Checked Out,907.37,United Kingdom
OTA-97186626,Booking.com,2026-06-21,2026-08-18,2026-08-22,Chloe Clarke,chloeclarke96@yahoo.co.uk,London,Family Room,Checked Out,661.1,France
OTA-15120139,Expedia,2026-08-07,2026-10-21,2026-10-24,Evie Khan,eviekhan18@icloud.com,London,Family Room,Cancelled,392.06,United Kingdom
OTA-63330116,Expedia,2026-07-12,2026-08-12,2026-08-14,Lewis Collins,,Manchester,Family Room,Cancelled,346.9,Germany
OTA-62462456,Booking.com,2026-08-15,2026-10-06,2026-10-08,Henry Mitchell,henrymitchell94@proton.me,London,Superior King,Cancelled,239.0,Germany
OTA-86184372,Booking.com,2026-03-22,2026-03-23,2026-03-26,Bethany Campbell,bethanycampbell63@proton.me,Manchester,Family Room,Cancelled,703.74,United States
OTA-77315865,Expedia,2026-02-10,2026-03-25,2026-03-27,Oscar Edwards,oscaredwards27@hotmail.com,Manchester,Standard Twin,Cancelled,390.6,United Kingdom
OTA-37890146,Booking.com,2026-08-18,2026-11-11,2026-11-16,Olivia Robinson,oliviarobinson18@gmail.com,Edinburgh,Standard Twin,Confirmed,442.16,Ireland
OTA-31448527,Booking.com,2026-04-01,2026-06-11,2026-06-13,Aisha Reid,aishareid62@gmail.com,London,Exec King,Checked Out,126.25,Germany
OTA-35458929,Expedia,2026-03-06,2026-05-17,2026-05-22,Samuel Edwards,,Manchester,Superior King,Confirmed,696.01,United Kingdom
OTA-50630715,Expedia,2026-03-20,2026-05-12,2026-05-16,Leah Martin,leahmartin56@icloud.com,Edinburgh,Standard Double,Cancelled,668.75,United States
OTA-15048025,Booking.com,2026-04-22,2026-05-03,2026-05-06,Evie Ali,,Birmingham,Standard Double,Cancelled,507.86,United Kingdom
OTA-84236007,Expedia,2026-04-26,2026-05-04,2026-05-07,Maya Phillips,mayaphillips57@gmail.com,Bristol,Superior King,Checked Out,395.17,United States
OTA-61121172,Expedia,2026-05-30,2026-06-23,2026-06-28,Nathan Mitchell,nathanmitchell50@proton.me,Manchester,Family Room,Cancelled,645.37,United Kingdom
OTA-52772120,Booking.com,2026-03-04,2026-04-06,2026-04-09,Mohammed Gupta,mohammedgupta3@hotmail.com,Manchester,Executive King,Confirmed,962.07,United Kingdom
OTA-30590933,Expedia,2026-03-25,2026-05-20,2026-05-25,Harry Parker,harryparker64@outlook.com,Liverpool,Superior King,Confirmed,314.5,Ireland
OTA-19622915,Expedia,2026-05-21,2026-08-05,2026-08-06,Thomas Ali,thomasali28@hotmail.com,London,Standard Double,Cancelled,520.2,United Kingdom
OTA-35336035,Booking.com,2026-06-15,2026-07-23,2026-07-24,Ethan Stewart,ethanstewart8@outlook.com,Birmingham,Family Room,Cancelled,583.6,United Kingdom
OTA-44605685,Booking.com,2026-03-10,2026-05-09,2026-05-11,Alice Williams,alicewilliams87@proton.me,Bristol,Standard Twin,Cancelled,822.54,United Kingdom
OTA-29609791,Expedia,2026-08-24,2026-10-31,2026-11-01,Ryan Walker,,Edinburgh,Superior King,Confirmed,445.17,United Kingdom
OTA-58832114,Expedia,2026-03-08,2026-04-23,2026-04-27,Priya Carter,priyacarter15@gmail.com,Manchester,Superior King,Checked Out,208.14,United Kingdom
OTA-12361120,Booking.com,2026-06-26,2026-08-20,2026-08-25,Nadia Shah,nadiashah17@yahoo.co.uk,Birmingham,Superior King,Confirmed,413.99,France
OTA-86799658,Expedia,2026-07-19,2026-08-26,2026-08-28,Meera Cooper,meeracooper80@proton.me,Birmingham,Standard Double,Checked Out,512.07,United Kingdom
